WARD,value
1,1.1791
2,1.3705
3,1.3847
4,1.7979
5,1.0325
6,1.3209
7,1.4345
8,1.6304
9,1.3891
10,1.5297
11,1.4285
12,1.5297
13,1.422
14,1.0124
,
